name,prm_generations,paths_per_prm,median_build_time_ms,mean_build_time_ms,median_find_time_ms,mean_find_time_ms,success_rate,median_edge_count,mean_edge_count,median_path_length,mean_path_length
[clutter] Connectivity K-Nearest (k=4),1000,1000,10.202565,9.256606953000004,1.5880035,1.563412856840957,0.733358,144.0,143.755,0.7087602727451858,0.8537457811134822
[clutter] Connectivity Distance (d=0.175),1000,1000,4.055407000000001,4.022118609000002,1.2491990000000002,1.1446340837139382,0.135346,69.0,70.49,0.31341776017972656,0.4025410915002007
[clutter] Connectivity Distance (d=0.225),1000,1000,8.004749499999999,7.667917141999992,1.667008,1.6557489276549497,0.526786,121.0,122.267,0.5476550277235326,0.6735288436127609
[clutter] Heuristic Joint-Space (K-Nearest),1000,1000,7.903510999999999,7.162845883000003,1.438479,1.394431381068995,0.516973,116.0,115.74,0.6689639231867238,0.8200483811106454
[clutter] Heuristic Joint-Space (Distance),1000,1000,5.9198435,5.710912105999996,1.4504975,1.396710808405962,0.294967,95.0,95.462,0.4450500351866596,0.5511302240781492
[clutter] Cycle Avoidance True (K-Nearest),1000,1000,5.890141,5.336314421000002,1.4388614999999998,1.3927411461920136,0.512539,81.0,80.626,0.72347131278805,0.9203288209938602
[clutter] Cycle Avoidance True (Distance),1000,1000,4.370874000000001,4.122141279000005,1.4491770000000002,1.397708530658007,0.29575,64.0,64.388,0.45657432616642707,0.5981201227762556
[clutter] Density 50 (K-Nearest),1000,1000,3.827521,3.537567554999999,1.407417,1.335781838249949,0.502404,50.0,49.779,0.6219042969997556,0.7514688390616474
[clutter] Density 50 (Distance),1000,1000,1.4877155,1.504605724000002,1.0676105000000002,0.9222620237380419,0.111271,24.0,24.071,0.3205950909108969,0.36844460993170075
[clutter] Density 200 (K-Nearest),1000,1000,16.3917435,14.72588979799998,1.4760849999999999,1.4532889964290197,0.60076,267.0,267.24,0.8031047533721443,0.9697396413336555
[clutter] Density 200 (Distance),1000,1000,23.6657905,21.964775660000004,1.9816945000000001,2.012246798975978,0.810017,381.5,383.205,0.6456568004363765,0.7478325251110803
[clutter] Sampling Gaussian (sigma=0.04) (K-Nearest),1000,1000,7.2329415,6.963074233,1.4032705,1.3920425962000025,0.255302,79.0,79.382,0.5027815419595444,0.6187595654631147
[clutter] Sampling Gaussian (sigma=0.04) (Distance),1000,1000,5.7388595,5.734159746,1.3520575,1.2955754091949316,0.142041,62.0,63.063,0.33880840779195975,0.4177114913009312
[clutter] Sampling Gaussian (sigma=0.05) (K-Nearest),1000,1000,7.367127,7.00765605100001,1.4080615,1.4009492382860382,0.293156,84.0,84.525,0.5347120603572318,0.657239846852927
[clutter] Sampling Gaussian (sigma=0.05) (Distance),1000,1000,5.666895499999999,5.8449692280000045,1.363745,1.31724916617301,0.158513,66.0,66.333,0.3451625512122112,0.43404512922565464
[clutter] Sampling Gaussian (sigma=0.06) (K-Nearest),1000,1000,7.483618,7.236978163000003,1.4173689999999999,1.4196470318280012,0.325508,88.0,88.462,0.5580983696860433,0.684077421043303
[clutter] Sampling Gaussian (sigma=0.06) (Distance),1000,1000,5.680407499999999,5.648080847000002,1.37147,1.3335908491380914,0.17118,69.0,69.435,0.3497463433362906,0.4443609996254098
[clutter] Sampling Bridge (sigma=0.04) (K-Nearest),1000,1000,13.597255999999998,13.464229984000005,1.1783285000000001,1.0685956266810286,0.077106,55.0,54.87,0.3909848146609197,0.44060633008016037
[clutter] Sampling Bridge (sigma=0.04) (Distance),1000,1000,14.662179,14.484009937999993,0.989154,0.8661515262980211,0.046882,56.0,56.392,0.3182293340157977,0.3592824035275732
[clutter] Sampling Bridge (sigma=0.05) (K-Nearest),1000,1000,11.762771,11.571965002000017,1.2209254999999999,1.1157473514020382,0.091819,58.0,57.862,0.39632187483871184,0.451437721390204
[clutter] Sampling Bridge (sigma=0.05) (Distance),1000,1000,12.560063,12.645802894000024,1.0382360000000002,0.8998621541679782,0.055351,58.0,59.153,0.3225936995912454,0.3727121719800901
[clutter] Sampling Bridge (sigma=0.06) (K-Nearest),1000,1000,10.809456,10.727835204000007,1.254624,1.1604812863499412,0.107265,61.0,60.811,0.4054059728767487,0.4660447718134905
[clutter] Sampling Bridge (sigma=0.06) (Distance),1000,1000,11.613345500000001,11.677354627999978,1.084721,0.946995658097001,0.064216,62.0,62.098,0.32737370142848166,0.3863191771094788
[three_hubs] Baseline K-Nearest,1000,1000,2.624244,2.387479524000001,1.127878,1.179268648941965,0.97075,176.0,176.181,0.6956275598425373,0.8060004926710993
[three_hubs] Baseline Distance,1000,1000,1.922143,1.8682633580000014,1.13824,1.1664980226510338,0.594381,138.0,138.835,0.5357500779340458,0.6725335544495479
[three_hubs] Connectivity K-Nearest (k=2),1000,1000,1.8650005,1.6964498530000005,1.0704410000000002,1.1181640776930415,0.718346,124.0,123.735,0.7839523861827631,0.9840572203700385
[three_hubs] Connectivity K-Nearest (k=4),1000,1000,3.386523,3.078074648999999,1.1885865,1.2357007683240122,0.995745,227.0,226.792,0.6009792738688388,0.6698749891221815
[three_hubs] Connectivity Distance (d=0.175),1000,1000,1.370451,1.3489476620000012,1.0517370000000001,1.0328770548109767,0.278171,98.0,98.956,0.40830574640782336,0.5140322099978044
[three_hubs] Connectivity Distance (d=0.225),1000,1000,2.5906019999999996,2.516904354000002,1.227139,1.2793882304919892,0.870902,186.0,187.025,0.5645755729471963,0.6840803115205226
[three_hubs] Heuristic Joint-Space (K-Nearest),1000,1000,2.625812,2.3886254829999998,1.126844,1.1779314659539715,0.97237,177.0,176.586,0.6963820978200295,0.8095469122935949
[three_hubs] Heuristic Joint-Space (Distance),1000,1000,1.91749,1.8701534919999987,1.1414095,1.1670663376789727,0.597161,138.0,138.717,0.5374105119317596,0.673406133814682
[three_hubs] Cycle Avoidance True (K-Nearest),1000,1000,1.5457265000000002,1.4001086809999999,1.1286635,1.1761538060960293,0.972334,98.0,97.654,0.8272539999672339,1.0658902561764063
[three_hubs] Cycle Avoidance True (Distance),1000,1000,1.237813,1.155690350999999,1.14265,1.174712049294032,0.590288,81.0,81.006,0.5727496611693614,0.7472095508571376
[three_hubs] Density 50 (K-Nearest),1000,1000,1.2626019999999998,1.1628852499999995,1.1315025,1.184068790648975,0.966624,83.0,83.172,0.6416256755557079,0.7389457080533266
[three_hubs] Density 50 (Distance),1000,1000,0.49903149999999996,0.500409142,0.9933400000000001,0.9225851858220055,0.211923,35.0,35.254,0.34225671226512955,0.4211786694822551
[three_hubs] Density 200 (K-Nearest),1000,1000,5.421222500000001,4.884163284999995,1.1399530000000002,1.1872363288730279,0.985973,366.0,366.004,0.7547743973034771,0.836329210949963
[three_hubs] Density 200 (Distance),1000,1000,7.860864,7.323160626999985,1.3414075,1.3959825488359887,0.98503,554.0,556.357,0.55272296810224,0.6157301181956818
[three_hubs] Sampling Gaussian (sigma=0.04) (K-Nearest),1000,1000,2.584373,2.4854810159999974,1.128425,1.223752914030049,0.851688,139.0,139.054,0.732153463878733,0.8808085074796368
[three_hubs] Sampling Gaussian (sigma=0.04) (Distance),1000,1000,2.1555065000000004,2.1930005900000005,1.082402,1.0798717165740113,0.370703,117.0,117.902,0.51186814643856,0.6468700308650842
[three_hubs] Sampling Gaussian (sigma=0.05) (K-Nearest),1000,1000,2.5806,2.485816168999999,1.127967,1.2250287864019997,0.89377,146.0,145.578,0.7308324904355594,0.865114214737169
[three_hubs] Sampling Gaussian (sigma=0.05) (Distance),1000,1000,2.1338660000000003,2.198197666,1.0913905000000002,1.0962935360989585,0.410231,122.0,122.956,0.5313086679761263,0.6638431913453448
[three_hubs] Sampling Gaussian (sigma=0.06) (K-Nearest),1000,1000,2.6317364999999997,2.5292567979999987,1.1337574999999998,1.2292204657720505,0.925919,152.0,151.812,0.72309635177043,0.8466655650966675
[three_hubs] Sampling Gaussian (sigma=0.06) (Distance),1000,1000,2.0996175,2.142278075,1.0929615,1.103426628485969,0.436657,126.0,126.654,0.5436471508070677,0.676769376912326
[three_hubs] Sampling Bridge (sigma=0.04) (K-Nearest),1000,1000,47.2403745,47.779461163,1.0630445,1.0560680692329254,0.309941,159.0,158.689,0.538318374882574,0.5985895051198648
[three_hubs] Sampling Bridge (sigma=0.04) (Distance),1000,1000,50.0940005,51.32834016599992,0.0030485,0.5355545827230002,0.097159,346.5,349.627,0.384119463038068,0.4938546908891138
[three_hubs] Sampling Bridge (sigma=0.05) (K-Nearest),1000,1000,26.655773,26.849880567999982,1.092558,1.1359070717189388,0.483927,159.0,159.301,0.5968133046963137,0.7032820233777717
[three_hubs] Sampling Bridge (sigma=0.05) (Distance),1000,1000,29.365196,29.814355010999957,0.013607500000000002,0.6094915430110102,0.1635,307.0,310.028,0.5011657515969271,0.6071987709107118
[three_hubs] Sampling Bridge (sigma=0.06) (K-Nearest),1000,1000,16.377571500000002,16.568069627000007,1.109863,1.1740504054340248,0.582238,160.0,159.491,0.6183247747963438,0.7452583044932456
[three_hubs] Sampling Bridge (sigma=0.06) (Distance),1000,1000,18.7048385,18.98489272100001,0.7667945,0.6832622501270155,0.230225,274.0,275.057,0.5751674261793835,0.6715938349915865
